Date,Open,High,Low,Close,Adj Close,Volume
2024-04-08,584.102173,600.892883,577.983337,586.900940,586.900940,1739232272
2024-04-09,586.900940,589.666748,574.140320,580.830322,580.830322,1988165022
2024-04-10,580.830322,610.482971,574.461426,610.083923,610.083923,1654268255
2024-04-11,610.083923,617.468628,592.602173,604.893799,604.893799,1299527568
2024-04-12,604.893799,626.984070,575.580872,596.380127,596.380127,2619549858
2024-04-13,596.374939,599.891968,517.270081,554.299805,554.299805,2660310655
2024-04-14,554.299805,570.257568,537.180542,567.218445,567.218445,1724305772
2024-04-15,567.218445,585.485962,546.865356,552.874512,552.874512,1488692418
2024-04-16,552.874695,554.104858,524.221863,537.829346,537.829346,1299731119
2024-04-17,537.831360,548.042847,514.112854,534.416016,534.416016,1411927485
2024-04-18,534.414978,555.040039,527.430054,552.172119,552.172119,1439312699
2024-04-19,552.172119,564.544861,525.028625,554.889282,554.889282,1320094794
2024-04-20,554.888123,574.098694,549.800049,570.960510,570.960510,697007137
2024-04-21,570.960510,582.272034,567.171082,579.619934,579.619934,782061076
2024-04-22,579.614685,608.517029,579.141663,605.575500,605.575500,1300340623
2024-04-23,605.575500,613.543335,599.937561,606.840637,606.840637,1380221181
2024-04-24,606.840637,617.305115,592.944092,608.086121,608.086121,1518718475
2024-04-25,608.090637,617.806213,601.777466,614.005005,614.005005,1161642323
2024-04-26,614.005005,614.834229,597.179626,597.705444,597.705444,817787521
2024-04-27,597.705444,599.282776,586.152710,595.720520,595.720520,781864034
2024-04-28,595.720520,607.824280,595.716553,600.071167,600.071167,681109845
2024-04-29,600.071167,602.598938,583.338501,592.831238,592.831238,868114786
2024-04-30,592.831787,603.322815,556.170898,578.488037,578.488037,1727881192
2024-05-01,578.487488,579.332947,538.046448,561.408203,561.408203,1502825527
2024-05-02,561.408203,565.457397,543.522339,560.526733,560.526733,877449354
2024-05-03,560.526733,590.244812,559.446716,587.010437,587.010437,854728192
2024-05-04,587.018433,593.193420,583.299377,585.846558,585.846558,582273374
2024-05-05,585.846558,594.995300,580.246277,592.140381,592.140381,531182053
2024-05-06,592.139893,601.886719,583.373413,588.475952,588.475952,1522319999
2024-05-07,588.475952,599.935486,576.724548,577.486206,577.486206,1535678414
2024-05-08,577.486206,589.572571,575.148010,588.197449,588.197449,1603241013
2024-05-09,588.197449,602.589722,586.730347,596.031982,596.031982,1897318659
2024-05-10,596.027649,596.583374,582.045776,585.622192,585.622192,1521708160
2024-05-11,585.622192,594.206543,581.896667,592.027893,592.027893,1333662111
2024-05-12,592.029175,599.184143,587.804321,594.424561,594.424561,1276671115
2024-05-13,594.424561,597.768005,585.520752,591.606934,591.606934,1636169234
2024-05-14,591.606934,592.836975,563.420227,566.707031,566.707031,1944063031
2024-05-15,566.707031,587.421509,561.127258,582.074341,582.074341,1895100260
2024-05-16,582.100159,586.436340,565.762329,569.190247,569.190247,1911862000
2024-05-17,569.190247,584.666016,568.836731,581.178345,581.178345,1557134929
2024-05-18,581.178345,581.987183,575.018555,580.481140,580.481140,1358737176
