Date,Price,Open,High,Low,Vol.,Change %
12/16/2023,"2,229.07","2,220.41","2,262.68","2,212.80",206.79K,0.39%
12/15/2023,"2,220.41","2,315.40","2,317.42","2,213.18",349.63K,-4.11%
12/14/2023,"2,315.64","2,260.18","2,331.63","2,237.39",461.60K,2.45%
12/13/2023,"2,260.18","2,203.49","2,283.84","2,148.87",436.64K,2.57%
12/12/2023,"2,203.49","2,225.33","2,243.34","2,168.18",377.05K,-0.98%
12/11/2023,"2,225.34","2,352.26","2,355.02","2,164.16",678.03K,-5.40%
12/10/2023,"2,352.26","2,340.55","2,376.57","2,324.18",206.78K,0.50%
12/09/2023,"2,340.55","2,358.42","2,401.34","2,332.36",304.64K,-0.76%
12/08/2023,"2,358.42","2,355.78","2,389.36","2,340.88",397.41K,0.11%
12/07/2023,"2,355.80","2,233.45","2,381.65","2,224.61",518.61K,5.48%
12/06/2023,"2,233.45","2,293.36","2,310.20","2,223.15",431.57K,-2.61%
12/05/2023,"2,293.34","2,243.30","2,302.29","2,190.96",561.41K,2.22%
12/04/2023,"2,243.54","2,192.79","2,272.26","2,191.43",601.45K,2.31%
12/03/2023,"2,192.79","2,164.79","2,215.46","2,150.58",279.65K,1.29%
12/02/2023,"2,164.79","2,087.21","2,179.73","2,086.29",344.20K,3.72%
12/01/2023,"2,087.21","2,051.59","2,109.32","2,045.39",402.51K,1.74%
11/30/2023,"2,051.56","2,028.99","2,054.33","2,021.44",252.49K,1.11%
11/29/2023,"2,028.99","2,048.47","2,071.36","2,020.31",269.97K,-0.95%
11/28/2023,"2,048.47","2,027.51","2,074.79","1,996.19",312.94K,1.03%
11/27/2023,"2,027.51","2,062.30","2,071.13","1,987.43",354.28K,-1.70%
11/26/2023,"2,062.64","2,082.91","2,092.80","2,038.28",259.79K,-0.98%
11/25/2023,"2,083.09","2,080.63","2,089.64","2,065.17",154.35K,0.12%
11/24/2023,"2,080.62","2,061.92","2,129.20","2,059.23",460.97K,0.91%
11/23/2023,"2,061.92","2,063.05","2,088.20","2,040.66",264.01K,-0.06%
11/22/2023,"2,063.05","1,934.62","2,090.01","1,930.66",506.35K,6.64%
11/21/2023,"1,934.62","2,021.49","2,034.51","1,932.50",527.41K,-4.30%
11/20/2023,"2,021.49","2,011.02","2,064.05","1,994.89",455.23K,0.52%
11/19/2023,"2,011.01","1,961.72","2,014.93","1,943.63",269.02K,2.51%
11/18/2023,"1,961.72","1,960.80","1,971.02","1,920.13",298.88K,0.05%
11/17/2023,"1,960.80","1,961.77","1,990.24","1,908.24",430.92K,-0.05%
11/16/2023,"1,961.76","2,058.93","2,089.44","1,940.44",585.12K,-4.72%
11/15/2023,"2,058.93","1,979.40","2,060.95","1,967.97",455.57K,4.03%
